firstContent
활동 기반 행동 코호트 분석
firstColumns
SEGMENT,USERS,DAY 0,DAY 1,DAY 2,DAY 3,DAY 4,DAY 5,DAY 6,DAY 7,DAY 8,DAY 9,DAY 10
firstRows
Jan 27,12000,100.0,90.0,81.0,72.9,65.6,59.0,53.1,47.8,43.0,38.7,34.9
Jan 28,11500,100.0,90.0,81.0,72.9,65.6,59.0,53.1,47.8,43.0,38.7,
Jan 29,11000,100.0,90.0,81.0,72.9,65.6,59.0,53.1,47.8,43.0,,
Jan 30,10500,100.0,90.0,81.0,72.9,65.6,59.0,53.1,47.8,,,
Jan 31,10000,100.0,90.0,81.0,72.9,65.6,59.0,53.1,,,,
Feb 01,9500,100.0,90.0,81.0,72.9,65.6,59.0,,,,,
Feb 02,9000,100.0,90.0,81.0,72.9,65.6,,,,,,
Feb 03,8500,100.0,90.0,81.0,72.9,,,,,,,
Feb 04,8000,100.0,90.0,81.0,,,,,,,,

secondContent
장르 기반 행동 코호트 분석
secondColumns
SEGMENT,USERS,DAY 0,DAY 1,DAY 2,DAY 3,DAY 4,DAY 5,DAY 6,DAY 7,DAY 8,DAY 9,DAY 10
secondRows
Jan 27,12200,100.0,91.0,82.0,73.0,66.0,60.0,54.0,48.0,44.0,39.0,35.0
Jan 28,11700,100.0,91.0,82.0,73.0,66.0,60.0,54.0,48.0,44.0,39.0,
Jan 29,11200,100.0,91.0,82.0,73.0,66.0,60.0,54.0,48.0,44.0,,
Jan 30,10700,100.0,91.0,82.0,73.0,66.0,60.0,54.0,48.0,,,
Jan 31,10200,100.0,91.0,82.0,73.0,66.0,60.0,54.0,,,,
Feb 01,9700,100.0,91.0,82.0,73.0,66.0,60.0,,,,,
Feb 02,9200,100.0,91.0,82.0,73.0,66.0,,,,,,
Feb 03,8700,100.0,91.0,82.0,73.0,,,,,,,
Feb 04,8200,100.0,91.0,82.0,,,,,,,,
