content
활동 기반 행동 코호트 분석
columns
SEGMENT,USERS,DAY 0,DAY 1,DAY 2,DAY 3,DAY 4,DAY 5,DAY 6,DAY 7,DAY 8,DAY 9,DAY 10
rows
Feb 04,8000,100.0,90.0,81.0,,,,,,,,
Feb 03,8500,100.0,90.0,81.0,72.9,,,,,,,
Feb 02,9000,100.0,90.0,81.0,72.9,65.6,,,,,,
Feb 01,9500,100.0,90.0,81.0,72.9,65.6,59.0,,,,,
Jan 31,10000,100.0,90.0,81.0,72.9,65.6,59.0,53.1,,,,
Jan 30,10500,100.0,90.0,81.0,72.9,65.6,59.0,53.1,47.8,,,
Jan 29,11000,100.0,90.0,81.0,72.9,65.6,59.0,53.1,47.8,43.0,,
Jan 28,11500,100.0,90.0,81.0,72.9,65.6,59.0,53.1,47.8,43.0,38.7,
Jan 27,12000,100.0,90.0,81.0,72.9,65.6,59.0,53.1,47.8,43.0,38.7,34.9
